Week,Week Start,Section,Item,Description,Rationale (why this is here),Owner,Status,Evidence / Link,Notes
Week 0,,Setup,HF account + accept gating,"Create HF account; accept terms on bharatgenai/Shrutam-2, bharatgenai/sooktam2, ai4bharat/indictrans2-indic-en-1B and en-indic-1B. Generate access token; set HF_TOKEN env var. Async, before Day 1.",All three target models are gated or trust_remote_code. Token must be live before Day 1 or first model load fails.,Intern,Done,,
Week 0,,Setup,RunPod pod + persistent volume,"Create RunPod account. Spin up a Pod with persistent volume attached (recommend 80-100 GB to fit HF cache for all 3 models + datasets). GPU template: RTX 4090 (24 GB, cheaper) or A40 (48 GB, headroom for Week 6 multi-model). Note: pod ID, volume ID, GPU type chosen — documented in repo README.",Inference benchmarks are meaningful only against a fixed environment. Pod + GPU template should not change across weeks. Persistent volume so models survive pod restarts (otherwise re-downloading IndicTrans2-1B + Shrutam-2 + Sooktam-2 every cold start wastes 30+ min).,Mentor,Done,,"Account created, pod will be created when required since it consumes credits"
Week 0,,Setup,HF cache on persistent volume,On the Pod: `export HF_HOME=/workspace/.cache/huggingface` (or whatever the mount path is). Add to ~/.bashrc. Verify by loading a tiny model and checking the file lands on the persistent volume.,Default HF cache lives in container ephemeral storage — wiped on pod restart. Pointing HF_HOME at the volume means model downloads are one-time. This single line saves ~5 hours over the internship.,Intern,Not Started,,
Week 0,,Setup,Repo created,Create `bharatgen-speech-intern-2026` with week0/ through week7/ folders. Branch protection so reviews are mandatory.,Weekly commits make progress visible asynchronously. Removes the 'I lost my notebook' failure mode.,Mentor,Done,,
Week 0,,Setup,Tooling installed,"Python 3.10, conda or uv, VS Code with Python + Jupyter extensions, ffmpeg, jupyter lab.",ffmpeg is a hidden dependency for librosa/torchaudio/soundfile. Installing on Day 0 avoids a Day-1 audio-loading bug that looks unrelated.,Intern,Done,,
Week 0,,Setup,Pre-reading (<=3 hours),AI4Bharat blog post on IndicTTS/IndicASR. Skim Shrutam-2 + Sooktam-2 model cards. No notes required.,Builds vocabulary exposure so Day 3 concepts have anchor points. Retention is not the goal here.,Intern,Done,,"Mark Done at end of Week 0 — vocabulary surfaces correctly in reflection.md (attention, transformers)"
Week 0,,Concept,"Day 1: numpy - arrays, shape, dtype, broadcasting","How arrays differ from Python lists. What .shape and .dtype mean. Broadcasting rules: when do (3,1) and (1,4) combine to (3,4).","PyTorch tensors are numpy arrays + GPU + autograd. Master numpy first; PyTorch then feels 30% new, not 100% new.",Intern,Done,,
Week 0,,Concept,"Day 1: Jupyter cells, kernels, magics","Cell execution order, kernel state, %time, %matplotlib inline. Why notebooks for exploration, scripts for production.",ML work lives in notebooks. Notebook mental model is different from script mental model — hidden kernel state causes 'works for me' bugs.,Intern,Done,,
Week 0,,Hands-on,Day 1: numpy exercises,"Create arrays, slice, broadcast, dot product, reshape. 10 small exercises. Write down what .shape will be BEFORE running each cell.",Predicting shape before running is the discipline that prevents 80% of 'shape mismatch' bugs later.,Intern,Done,,
Week 0,,Hands-on,Day 1: venv + requirements.txt comfort,"Create a fresh venv with uv or conda, install numpy/matplotlib/jupyter, freeze a requirements.txt.",Every later week installs more packages. Environment hygiene now prevents 'it worked yesterday' problems in Week 4.,Intern,Done,,
Week 0,,Concept,Day 2: matplotlib pyplot basics,"fig, ax = plt.subplots(). plot(), scatter(), hist(), set_xlabel/set_ylabel/set_title.",Every week involves plotting something. Familiarity removes a recurring friction point.,Intern,Done,,
Week 0,,Hands-on,Day 2: three plot types,"Plot a sine wave, a 1000-sample Gaussian histogram, a scatter of two correlated variables. Each plot labeled.","Three plot types cover ~80% of what he'll plot. Practiced once, available always.",Intern,Done,,
Week 0,,Hands-on,Day 2: read one library doc page end-to-end,librosa 'Core IO and DSP' page. Read every section. Try one example from each.,Reading docs is THE skill. Practicing it on a library he'll use next week is dual-purpose.,Intern,Done,,
Week 0,,Concept,Day 3: what is a 'model' in ML,A function with learned parameters. Input -> some math -> output. That's it for now. We won't train any — only run pre-trained ones.,Demystifies the word. Removes the 'how does it learn' anxiety which is not Week 0's problem.,Intern,Done,,
Week 0,,Concept,Day 3: what is a tensor (vs numpy array),"Same data structure (n-dim array of numbers), but: lives on GPU, tracks gradients (we won't use this in inference). For our purposes: numpy array on a graphics card.",90% of 'PyTorch feels hard' is this conceptual confusion. Naming and dismissing it early saves a week.,Intern,Done,,
Week 0,,Concept,Day 3: what is a tokenizer,Converts text -> list of integers (tokens) so models can process it. Different models have different tokenizers. 'नमस्ते' might be 1 token or 5 tokens depending on the tokenizer.,Crucial framing for Weeks 2-5 where tokenizers appear repeatedly. One-paragraph mental model is enough.,Intern,Done,,
Week 0,,Concept,Day 3: training vs inference,Training: model learns from labeled data. Inference: model runs on new inputs. We do inference only for 7 weeks. Knowing what we're NOT doing scopes the work.,Bounds the scope explicitly. Pre-empts the 'should I train it' instinct that derails most first ML projects.,Intern,Done,,
Week 0,,Concept,Day 3: GPU vs CPU intuition,"GPU = thousands of small parallel cores, great at matrix multiplications. CPU = few fast sequential cores. Neural network = millions of matmuls -> GPU is 10-100x faster.","Frames Day 5's GPU warm-up and every subsequent profiling discussion. Intuition first, mechanics later.",Intern,Done,,
Week 0,,Hands-on,Day 4: watch 3Blue1Brown NN videos ch. 1-3,"But what IS a Neural Network?', 'Gradient descent', 'What does backpropagation really do?'. ~60 min total. Watch, don't pause to implement.",Visual intuition for what's inside the model box. Watching is enough; implementing is for later if at all.,Intern,Done,,
Week 0,,Hands-on,Day 4: 1-page reflection in own words,Answer in his own words: 'What is a neural network? What does training mean? Why do we need data?' One page max.,Watching != understanding. Writing in own words tests retention and exposes gaps cheaply. THIS is the bootstrap diagnostic.,Intern,Done,,
Week 0,,Concept,Day 4: attention/transformers - 1-page primer,Single page only: transformers are a NN architecture good at sequences. Attention lets each token 'look at' other tokens. Read Jay Alammar 'Illustrated Transformer' intro (first 1/3 only).,One-page bird's-eye view so transformer vocabulary in Weeks 2-5 isn't entirely foreign. Don't go deep.,Intern,Done,,
Week 0,,Hands-on,Day 5: first PyTorch tensor,"pip install torch. torch.tensor([1,2,3]). Move .to('cuda'). Print .shape, .dtype, .device. Matmul of two random 1000x1000 tensors on CPU vs GPU, time both.",Tactile first PyTorch experience. CPU-vs-GPU timing makes the Day-3 'why GPU' concept concrete.,Intern,Done,https://github.com/makarkul/bharatgen-speech-intern-2026/tree/claude/setup-intern-project-FkRbX/week0/day5_pytorch_tensors.ipynb,"torch.tensor created, moved to/from cuda; .shape/.dtype/.device printed"
Week 0,,Hands-on,Day 5: run HF distilbert via pipeline(),from transformers import pipeline; pipe = pipeline('sentiment-analysis'); pipe('I love this'). Three lines. Print the output.,Easiest possible HF entry. No AutoModel/AutoTokenizer yet — just see that 'model goes brrr' works.,Intern,Done,https://github.com/makarkul/bharatgen-speech-intern-2026/tree/claude/setup-intern-project-FkRbX/week0/day5_pytorch_tensors.ipynb,pipeline('sentiment-analysis') run on 2 sentences with prose explanation of the load/tokenize/inference flow
Week 0,,Hands-on,Day 5: first commit,Commit week0_bootstrap.ipynb to repo with all Day 1-5 exercises. First git push.,Repo hygiene begins. Friday review now has something to review.,Intern,Done,https://github.com/makarkul/bharatgen-speech-intern-2026/tree/claude/setup-intern-project-FkRbX,Multiple commits to claude/setup-intern-project-FkRbX; week0_bootstrap.ipynb + day notebooks pushed
Week 0,,Deliverable,week0_bootstrap.ipynb + reflection.md,Single notebook covering Days 1-5 exercises. reflection.md = his 1-page NN explanation from Day 4.,"Single artifact for the week. Reviewable in one sitting. Reflection.md is the diagnostic — if vague, slow Week 1 down.",Intern,Done,https://github.com/makarkul/bharatgen-speech-intern-2026/tree/claude/setup-intern-project-FkRbX/week0,"Consolidated 60-cell bootstrap notebook + reflection.md (NN, training, why-data, GD, backprop, attention/transformers) committed"
Week 0,,Anti-pattern,Don't: implement a NN from scratch,Skip 'build your own neural network in numpy' tutorials. Skip backprop derivations.,"Optimization target for Week 0 is conceptual coverage, not building. Implementation is a Week-9+ activity (i.e., after this internship).",Intern,Done,,No scratch-NN implementation in week0 notebooks
Week 0,,Anti-pattern,Don't: read PyTorch tutorials past 'Tensors',"Skip 'Autograd', 'Training a Classifier', 'Optimization'. Those are training-stack content; we don't train.",Inference-only scope. Reading training content now muddles the mental model.,Intern,Done,,Day 5 stayed at tensor creation + device moves; no autograd
Week 0,,Anti-pattern,Don't: stress over 3Blue1Brown math,"If gradient descent algebra is hard, that's fine. Watch for intuition; math doesn't gate Week 1.",Math fluency is not a Week-0 prerequisite. Sets expectations.,Intern,Done,,Reflection captures intuition without algebra
Week 1,,Concept,Sampling rate: 16 kHz vs 44.1 kHz,What sampling rate means; why ASR models specify 16 kHz; what happens when you pass 44.1 kHz to a 16 kHz model.,"Sample-rate mismatch is a top silent-failure mode. Spot it now, save 4 hours of debugging later.",Intern,Done,,
Week 1,,Concept,Mono vs stereo,Why speech models expect mono. How to convert stereo to mono in librosa/torchaudio.,Common preprocessing bug source.,Intern,Done,,
Week 1,,Concept,"Waveform vs spectrogram, mel scale",Visual difference; what models actually consume; why mel rather than linear frequency.,"Models consume spectrograms, humans see waveforms. Bridging this gap visually = fastest path to intuition.",Intern,Not Started,,
Week 1,,Concept,Tensor basics in practice,"tensor.to(device), .shape, .dtype, .cpu(), .numpy(). Why device-mismatched ops fail.",Builds on Week 0 Day 5 with more depth now that bootstrap context exists.,Intern,Not Started,,
Week 1,,Hands-on,Record 5 clips in different languages,"Phone recordings: Hindi, English, plus 3 of Marathi/Tamil/Kannada/Bengali. Save as WAV.",Real audio surfaces real preprocessing issues that synthetic test files don't.,Intern,Not Started,,
Week 1,,Hands-on,Plot waveform and mel-spectrogram,Side-by-side plots in librosa. Zoom in on silence vs speech. Annotate which is which.,Visualization grounds the abstract. Annotation forces him to articulate what he sees.,Intern,Not Started,,
Week 1,,Hands-on,"Resample 44.1 -> 16 kHz, listen to both",torchaudio.transforms.Resample. Listen and compare. Note what's lost.,Demonstrates that significant information loss is tolerable for intelligibility — frames why ASR standardized on 16 kHz.,Intern,Not Started,,
Week 1,,Hands-on,Time CPU vs GPU matmul (larger),"10000x10000 matmul, CPU vs GPU. Compare to Week 0 Day 5's 1000x1000 numbers.",Quantifies how the gap grows with size. Concrete intuition for batching benefits later.,Intern,Not Started,,
Week 1,,Deliverable,week1_audio_basics.ipynb + audio_cheatsheet.md,"Notebook with plots and annotations. 1-page cheatsheet: sampling rate, mono/stereo, resampling, mel-spectrogram.",Cheatsheet seeds the handoff package. Audience-of-two forces clarity.,Intern,Not Started,,
Week 1,,Anti-pattern,Don't: read Stanford CS224S lectures,Skip the full course. Theory rabbit hole.,Three weeks can disappear into lectures with no code shipped.,Intern,Not Started,,
Week 1,,Anti-pattern,Don't: derive Fourier transforms,Pattern-match what librosa produces. Don't reinvent the FFT.,Not on the critical path to running BharatGen models.,Intern,Not Started,,
Week 2,,Concept,AutoModel / AutoTokenizer / AutoProcessor,"The Auto* pattern in HF transformers. Three classes: model weights, text tokenizer, multimodal processor.","Once internalized, every new HF model card becomes 80% familiar.",Intern,Not Started,,
Week 2,,Concept,trust_remote_code=True - security,What this flag does: executes Python from the model repo. Implications for untrusted models.,Sooktam-2 in Week 4 requires this flag. Need intuition before flipping it.,Intern,Not Started,,
Week 2,,Concept,model.eval() and torch.no_grad(),Training mode vs inference mode. no_grad halves memory and speeds up inference because it stops tracking gradients.,Forgotten in ~50% of beginner inference code. Easy win.,Intern,Not Started,,
Week 2,,Concept,"Tokens, logits, softmax - the output side",Token = integer the tokenizer produces. Logits = raw model output (one number per vocab token). Softmax converts logits to probabilities. Builds on Week 0 tokenizer concept.,Closes the loop on Week 0. Logits/softmax are the language of every generate() call.,Intern,Not Started,,
Week 2,,Concept,HF cache structure,"Inspect ~/.cache/huggingface/hub/. Files: config.json, tokenizer files, weights.",Demystifies the 'magic' of from_pretrained. Helps diagnose disk-space issues later.,Intern,Not Started,,
Week 2,,Hands-on,Run distilbert manually (not pipeline),"Load distilbert with AutoModel/AutoTokenizer. Print raw logits, apply torch.softmax, see probabilities. Compare to pipeline()'s output.",Bridges Week 0's pipeline() experience with the manual API. He sees what pipeline() was doing.,Intern,Not Started,,
Week 2,,Hands-on,Run whisper-tiny on Week 1 audio,openai/whisper-tiny via transformers. Get transcriptions.,First speech model. Becomes Week 3 baseline for Shrutam-2 comparison.,Intern,Not Started,,
Week 2,,Hands-on,Read a config.json end-to-end,"Identify and write in plain English what hidden_size, num_hidden_layers, vocab_size mean.",Builds intuition for what 'loading a model' actually involves.,Intern,Not Started,,
Week 2,,Deliverable,how_to_run_an_hf_model.md,"Tutorial written FOR the next intern. Code, screenshots, pipeline() vs manual loading.",Writing-for-others is the strongest test of understanding.,Intern,Not Started,,
Week 2,,Anti-pattern,Don't: fine-tune anything,"No LoRA, no PEFT, no full fine-tune. Inference-only.",Half-trained models with no documentation. Inference depth > training breadth here.,Intern,Not Started,,
Week 2,,Anti-pattern,Don't: pull in accelerate/bitsandbytes yet,Skip distributed and quantization libraries.,Premature optimization. Adds debugging surface without value.,Intern,Not Started,,
Week 3,,Concept,WER and CER,(insertions + deletions + substitutions) / reference length. Use jiwer library.,Only quantitative way to compare ASR systems.,Intern,Not Started,,
Week 3,,Concept,Code-mixing difficulty,"Why Hindi-English code-mix breaks most ASR models: tokenizer coverage, training-data distribution.",India-specific. Where BharatGen most differentiates from Whisper.,Intern,Not Started,,
Week 3,,Concept,Beam search vs greedy decoding,Greedy = take highest-probability token each step. Beam = keep top-k partial sequences. One paragraph each.,Affects every .generate() call. Enough to know what knob to tweak.,Intern,Not Started,,
